id,game,start,end,gap(sec),prev,target,subcategory,note
31889,england_epl/2016-2017/2016-10-29 - 17-00 Tottenham 1 - 1 Leicester,42:09:00,42:14:00,4,Wanyama. It's a penalty.,The grappling has gone on throughout the game.,Irrelevant,
208566,spain_laliga/2016-2017/2017-04-29 - 17-15 Real Madrid 2 - 1 Valencia,28:38:00,28:52:00,0,¿Qué os parece? A mí me parece que se engancha la pierna pero que no hace nada Nacho para derribarlo.,"Bueno, sus forcejeos han enganchado y yo creo que ahí el jugador del Valencia pues está listo, se ha dejado caer y el árbitro pues ha pitado falta.",Relevant,
2928,england_epl/2014-2015/2015-05-17 - 18-00 Manchester United 1 - 1 Arsenal,5:52,5:57,8,"Lo que en Inglaterra sería también como, si no hecho así bastante probable, la llegada aparte de Memphis Depay que ya ha fichado, de Madhumels. Hablando un poco de los centrales Madhumels.",Se está especulando con la posibilidad de que al final Pogba vuelva.,Irrelevant,
182770,spain_laliga/2016-2017/2016-08-21 - 21-15 Real Sociedad 0 - 3 Real Madrid,2:24,2:28,6,"Pero llega al despeje y Gareth Bale coloca el frentazo para colocarla lejos del alcance de Rulli. Siempre hay alguien que mete la pata cuando alguien marca un gol, pero no lo veo muy parente aquí.","Ramos pega un gol muy bueno, Carvajal, el centro es buenísimo.",Relevant,
116545,italy_serie-a/2014-2015/2015-04-29 - 21-45 Juventus 3 - 2 Fiorentina,12:51,12:59,3,Free kick just outside the deep. Fiorentina currently holding that sixth place in the table.,Which is the last European slot.,Relevant,
10986,england_epl/2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool,41:34:00,41:50:00,3,Long trip to Russia for Jurgen Klopp and his team. We'll have the tournament Celtic games on Thursday night as well for you.,"DT Sport, that's the place to catch up with all the European action this week, Tuesday, Wednesday and Thursday.",Irrelevant,
108615,germany_bundesliga/2016-2017/2016-12-10 - 17-30 FC Koln 1 - 1 Dortmund,22:44,23:29,1,Zwei hat alles im Griff. Hannover Meyang wird jetzt auch gleich wieder stehen.,"Sieht so aus, als wenn sich Reus der Angelegenheit ganz gerne annehmen würde, der ja in dieser Saison was Wunder, wo er heute erst zum dritten Mal in der Bundesliga spielt, noch auf sein Tor wartet.",Relevant,
103293,germany_bundesliga/2015-2016/2016-04-02 - 16-30 Bayern Munich 1 - 0 Eintracht Frankfurt,33:10:00,33:16:00,6,Aber sie versuchen anzulaufen. Sie trainiert jetzt in der Länderspielpause.,Immer wieder sauberes Verschieben im Mittelfeld.,Relevant,映像には関連する
213077,spain_laliga/2016-2017/2017-05-21 - 21-00 Malaga 0 - 2 Real Madrid,17:13,17:24,3,"Con qué calidad ahí va a intentar meter el balón para Keco. Keco en la banda, encarando sobre Sergio Ramos que hace la cobertura para Marcelo.","Busca la pared, la gana Keco, la pone en el punto de penalti, se le va Danilo, evita el remate de Reccio cuando la saca el Real Madrid buscando la contra.",Relevant,付加的情報ではない。映像（の切り替え）に関連する
71664,europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 Manchester United 1 - 0 CSKA Moscow,36:16:00,36:31:00,4,"Mignasiewicz there, and then Wernblum was the player that it canned off, and it will be a Manchester United corner. Really encouraging, though, isn't it?","We saw Rocco then hitting the ball wide, but he's in the six-yard box as a left-back, and Manchester United are getting an awful lot of bodies forward, and if you do that the ball's gonna drop to you at some point.",Relevant,
