id,game,half,start,end,text
1,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,0.62,4.12, Chelsea won this fixture 1-0 at Stamford Bridge back in May
2,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,4.12,8.12, to claim the Barclays Premier League title with three games remaining
3,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,9.62,14.12, Jose Mourinho's team had arguably done their best work in the early part of the campaign
4,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,14.12,20.12, a 14 game unbeaten run which took them six points clear of the top by early December
5,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,24.61,25.61, Here's Punchin
6,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,27.62,30.12, Zaha now to provide the width
7,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,31.12,35.62," Put behind by Ivanovic, it is a first minute corner for Crystal Palace"
8,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,35.62,39.62, He had a chat with Alan Pardew down in the media room before the game
9,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,39.62,42.62," He said they were going to take the game to Chelsea, hope they do Tony"
10,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,42.62,44.62, It will prove to be a good one
11,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,44.62,47.62, Palace fear no one at the moment
12,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,47.62,51.62," And Chelsea, well they need to pick it up obviously"
13,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,55.02,57.02, Conor Wickham poised on the edge of the penalty area
14,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,58.02,59.02, Here's Saka
15,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,59.02,63.1, Palace get another corner
16,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,64.1,67.6, Back by Saka who's arrived from Wolverhampton Wanderers where he was
17,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,67.6,71.6," top scorer in the championship last season, his most productive season"
18,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,72.6,74.6, And he scored against Aston Villa last weekend
19,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,75.6,80.68," Kale with Delaney for company, almost on the toes of"
