id,game,half,start,end,text
0,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,0.888,7.825, Chelsea won this fixture 1-0 at Stamford Bridge back in May to claim the Barclays Premier League title with three games remaining.
1,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,9.775,19.735, Jose Mourinho's team had arguably done their best work in the early part of the campaign a 14 game and beaten run which took them six points clear of the top by early December
2,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,19.735,20.196, He's punching.
3,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,20.216,20.457,Zaha now to
4,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,29.465,30.186, provide the width.
5,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,31.849,32.891,Put behind by Ivanovic.
6,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,33.011,35.735,It is a first minute corner for Crystal Palace.
7,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,36.857,39.701, chat with Alan Pardew down in the media room before the game.
8,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,39.741,41.424,He said they were going to take the game to Chelsea.
9,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,41.444,42.405,"Hope they do, Tony."
10,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,42.866,44.107,It will prove to be a good one.
11,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,45.27,51.107, Palace fear no one at the moment and Chelsea well they need to pick it up obviously
12,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,54.943,56.845, Conor Wickham poised on the edge of the penalty area.
13,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,58.006,58.567,Is Saka.
14,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,61.61,62.491,Palace get another corner.
15,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,65.062,71.867," who's arrived from Wolverhampton, where he was top scorer in the championship last season, his most productive season."
16,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,72.757,74.861, who scored against Aston Villa last weekend.
17,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,78.237,82.685," Kale with Delaney for company, almost on the toes of Courtois, the Chelsea goalkeeper."
18,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,86.251,86.993,In by Punchett.
19,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,88.314,89.156, Now by Ivanovic.
20,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,91.44,92.502,Picked up by Suada.
21,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,95.427,97.01,Function coming back from an offside position.
22,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,97.995,100.017," Just where you want is on the wayside, Tony."
23,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,100.037,102.618,Just out in the opposition's last third.
24,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,102.658,104.14,Right in the early stages of the game.
25,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,104.2,105.821,Too many teams just come to Chelsea.
26,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,106.201,106.462, FANS ROAR
27,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,116.301,124.918, is set up nicely she began the season with a 3-1 away win and newly promoted norwich
28,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,131.086,134.072, Now Matic.
29,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,134.132,139.884,Hazard.
30,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,142.844,144.249, Nazareth has got a problem here.
