id,game,half,start,end,text
0,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,0.879,30.16, Chelsea won this fixture 1-0 at Stamford Bridge back in May to claim the Barclays Premier League title with three games remaining Jose Mourinho's team had arguably done their best work in the early part of the campaign a 14 game and beaten run which took them six points clear of the top by early December He's punching Zaha now to provide the width
1,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,31.869,35.771," Put behind by Ivanovic, it is a first-minute corner for Crystal Palace."
2,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,36.471,42.433,"He had a chat with Alan Pardew down in the media room before the game, he said they were going to take the game to Chelsea, hope they do, Tony."
3,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,42.873,47.035,"It will prove to be a good Palace fear, no-one at the moment."
4,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,47.916,51.177,"And Chelsea, well, they need to pick it up, obviously."
5,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,54.958,56.859,Konowika poised on the edge of the penalty area.
6,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,57.96,58.52,Here's Saka.
7,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,61.664,62.524, Now let's get another corner.
8,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,64.285,71.909,"Bacresac, who's arrived from Wolverhampton Wanderers, where he was top scorer in the Championship last season, his most productive season."
9,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,72.669,74.89,And he scored against Aston Villa last weekend.
10,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,78.272,82.674,"Kale with Delaney for company, almost on the toes of Curdwell, the Chelsea goalkeeper."
11,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,86.235,87.016,In by Punchin.
12,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,88.376,89.117,Out by Ivanovic.
13,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,91.499,92.499, Victor Faisoada.
14,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,95.401,97.022,Punction coming back from an offside position.
15,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,98.002,99.923,"Just where you want as well, in the wayside zone."
16,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,99.943,102.564,He just had it in the opposition's last third.
17,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,102.584,104.145,Right in the early stages of the game.
18,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,104.205,106.946,Too many teams just come to Chelsea and just sit back.
19,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,107.046,109.147,I've really been looking forward to this game all week.
20,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,109.167,112.349,I think really Palace can give Chelsea a game this afternoon.
21,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,112.729,115.71,And obviously I think Chelsea are going to progress as the season goes on.
22,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,115.73,117.231,So it's set up nicely.
23,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,120.703,122.965, And she began the season with a 3-1 away win.
24,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,123.605,124.987,A newly promoted Norwich.
25,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,128.469,131.392,Ljubanic.
26,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,132.012,134.154,Now Macic.
27,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,135.175,137.077,Hazard.
28,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,138.177,144.122,Hazard has got a problem here.
29,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,144.182,145.423,He just lost his footing then.
30,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,147.105,148.206,"Yeah, he just..."
31,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,150.029,159.754," Slight groin there, I think, because Khabib put him under a little bit of pressure, tried to nick the ball, just knocked him off balance as he was dribbling, and just shaking himself off a little bit there, Hazard, just looked like he was strained."
32,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,165.237,165.398,Keha.
33,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,165.418,166.678,Matthew Lekwete.
34,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,166.698,169.98,Seen off all comers in that left-back position for Chelsea.
35,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,172.902,173.202,Pedra.
36,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,176.186,179.287, Goal for him on his Chelsea debut last weekend.
37,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,179.327,181.368,Goal and an assist at West Brom.
38,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,185.01,186.81,"Just what they needed, Chelsea, to freshen it up."
39,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,186.83,192.413,"Someone with a little bit of pace that, aside from when he's got the ball, when he hasn't got it, he'll get after it straight away."
40,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,192.533,194.314,And that's the cue for the rest of the team.
41,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,196.715,197.135,Ivanovic.
42,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,199.276,201.557,Al-Azhab.
43,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,201.617,201.857,Willian.
44,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,203.818,204.138,Ivanovic.
45,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,205.302,207.503," Ivanovic looking for help, Willian has provided it."
46,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,208.784,210.544,Eventually he's dispossessed by Kovac.
47,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,210.624,214.406,He's promptly given the ball to Matic.
48,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,217.848,224.23,"Willian, set free by Ivanovic."
49,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,224.791,225.591,Ivanovic again.
50,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,227.824,229.925, Good play down that right-hand side from Chelsea.
51,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,229.965,232.887,"Pedro eventually had his shot... Trust me, I told you we'd be busy."
52,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,232.947,235.308,First goal of the afternoon has come at Anfield.
53,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,235.508,236.909,But not for Liverpool.
54,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,236.949,241.732,"Manuel Lanzini at the back post, scruffy little opener, but West Ham don't care."
55,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,241.972,242.712,What a start.
56,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,244.073,248.696,"Back to Ivanovic and then he fires over the top as well, but nice and sharp in that last third."
57,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,255.469,261.294, How much more business will Chelsea do before the transfer window closes at the start of next week?
58,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,263.296,267.099,"The link repeatedly with John Stones, the Everton defender."
59,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,267.84,271.863,Talk of the bid going up from just over 20 million to close to 40 million.
60,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,271.923,276.287,Everton and their owner Bill Kenwright making it absolutely clear that they're going to hold on to it.
61,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,279.991,306.316, further speculation yesterday that Chelsea might also make a move for the French international midfielder Paul Pogba of Juventus such as a revolving door in football Julian Draxler's move from Schalke of Germany to Juventus suggests that there might be an opportunity for the Italians who reach the Champions League final to say goodbye to Pogba
62,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,309.65,312.571, Black Armbands today for all the Crystal Palace staff.
63,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,314.272,321.536,"Mark of respect for Yannick Bellassi's father who died last weekend, but Bellassi is on the bench for Palace again today."
64,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,323.377,325.798,Both his parents used to watch all his games.
65,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,328.86,329.16,Saka.
66,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,332.09,333.751, I like the way Palace are lining up.
67,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,333.771,336.334,"Conor Wickham up front really, the furthest up front."
68,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,336.394,341.498,"He's the spearhead of the attack, but there's plenty of pace in and around him."
69,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,341.518,341.618,Saka.
70,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,341.638,344.421,Now punching in the central area.
71,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,348.464,348.665,Ward.
72,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,350.006,350.386,Punching.
73,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,350.866,351.907,Giving Matic the slip.
74,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,355.731,356.151,Zaha.
75,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,357.052,357.973,Taking on Ivanovic.
76,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,362.09,362.77, Palace get the corner.
77,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,363.791,367.493,"Well, he's been gut at the last couple of weeks, hasn't he, Ivanovic, in that right-back spot."
78,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,367.573,369.113,No doubt they'll target him today.
79,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,369.193,370.414,One-on-one situations.
80,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,371.294,375.096,"A little bit unlucky here, Salah gets the ball to his feet, tries to get to the dead ball line."
81,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,375.436,378.718,"Twisting and turning, Ivanovic, but this time he defends well."
82,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,379.118,381.279,Gets his block in.
83,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,381.339,384.04,Palace have got that attacking option up there all around Wiccan.
84,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,384.48,389.243,Palace have shown already this season that they can be inventive with their saclés.
85,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,390.831,392.032, It is not the best example.
86,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,401.039,409.205,"It's very important when you have got that pace, the likes of Sacco and Saha, punching in the middle of the park there, that you have someone who can supply the passes."
87,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,409.285,411.947,And the acquisition of Kabay has been outstanding.
88,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,412.428,417.632,"He's the one who can see a pass that fraction of a second earlier, and obviously release those players that bit quicker."
89,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,422.0,424.042, I worked under Alan Pardew at Newcastle.
90,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,424.062,433.929,Wilkins challenge.
91,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,437.611,441.874,And you can see a little bit of a changing around in those three behind Costa already.
92,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,441.894,443.815,"You've got Pedro, Willian and Hazard."
93,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,443.856,445.497,They're gonna rotate.
94,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,445.537,449.439,"They won't be like liking to get stuck left, right and middle so to speak."
95,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,449.8,451.441,You'll find them rotating during the game.
96,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,458.752,462.576, Zuma has really developed at Stamford Bridge in the last 12 months or so.
97,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,462.596,466.44,He even made his Premier League debut at this time last year.
98,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,469.864,474.109,Matic.
99,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,476.491,477.012,Fabregas.
100,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,477.152,480.496,Naujvanovic.
101,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,487.554,489.855, And of course initially gave Palace the advantage.
102,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,489.875,494.658,"Good start for Palace, Tony."
103,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,494.698,496.9,We're only just coming up to the 8 minute mark.
104,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,496.94,499.001,But they've started really well on the front foot.
105,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,499.862,501.102,Trying to close Chelsea down.
106,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,501.122,502.523,They're trying to meet them high as well.
107,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,502.543,506.486,They're not allowing Chelsea to have possession easy in that back line.
108,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,506.506,509.928,"Every time Macic gets the ball, someone gets around him."
109,england_epl/2015-2016/2015-08-29 - 17-00 Chelsea 1 - 2 Crystal Palace,1,510.088,511.749,Because Macic is the one that starts it off.
