id,game,start,end,text,付加的情報か,大分類,小分類,備考
0,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,00:00,00:06,"Leverkusen, as usual, with Son on the way to the front, from left to right in this first half.",,,,
1,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,00:00,00:19,"Hulk, for the first time against Jedwaj, gets the free kick from Udjano Majenko.",,,,
2,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,00:16,00:33,Just off the back of Mladic's goal.,,,,
3,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,00:31,00:40,Robert Leno daunted in shorts.,,,,
4,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,00:37,00:43,The days have come.,,,,
5,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,00:40,00:55,"And now Andreboy top schools have accepted Launching the Milan winner from Barcelona, Luciano Spalletti this spring.",,,,
6,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,00:49,00:58,Zenit's only UCLn vice champion.,,,,
7,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,00:56,01:03,"Stand nicht gut da im Frühling, deswegen kam dann Villas-Boas.",,,,
8,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,00:58,01:11,"Brandt, Donati, Berrarabi.",,,,
9,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,01:06,01:11,"Donati, Berrarabi.",,,,
10,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,01:06,01:31,"So, Shalanoğlu looks briefly, will then play the ball out.",,,,
11,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,01:26,01:36,When Oleg Shatov caught a little.,,,,
12,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,01:31,01:39,He is in the first team today.,,,,
13,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,01:36,01:42,"Normally, Fajulin is a regular player.",,,,
14,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,01:39,01:44,Misses in this position.,,,,
15,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,01:42,01:47,That's the only one Villas-Boas has to give up.,,,,
16,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,01:44,01:49,"Molnikov, but he's not a regular player.",,,,
17,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,01:47,01:51,He had completely different worries.,,,,
18,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,01:49,01:56,Olga Schmidt alone without four on the six.,,,,
19,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,01:51,01:59,"Castro, Rolfes, Reinhardt, the long-time injured.",,,,
