id,game,start,end,gap(sec),prev,target,__subcategory,__note,__false-neg,小分類
210477,spain_laliga/2016-2017/2017-05-14 - 21-00 Real Madrid 4 - 1 Sevilla,9:50,9:55,3,Todo el mundo estaba mirando para otro lado. Todo el mundo estaba pensando quién le puede pegar a esa falta.,¿Cuáles son los especialistas del Real Madrid?,Relevant,珍しいシーンで、不思議な言い回しをしている,YES,YES
8469,england_epl/2015-2016/2015-09-26 - 17-00 Leicester 2 - 5 Arsenal,10:51,11:00,4,Qui trouve des brèches aussi pour Vardy. Paul Brighton qu'on n'a pas encore vu mais qui a une vraie belle qualité de passe.,D'ailleurs il est passeur 3 fois depuis le début de saison.,Relevant,,,YES
72552,europe_uefa-champions-league/2015-2016/2015-11-03 - 22-45 Sevilla 1 - 3 Manchester City,34:15:00,34:18:00,2,Konoplyanka. Sanea stayed with him.,And it is another corner.,Relevant,映像には関連する,YES,NO
108566,germany_bundesliga/2016-2017/2016-12-10 - 17-30 FC Koln 1 - 1 Dortmund,17:03,17:16,0,Dem Wille. Übrigens der Spieler mit den meisten Ballaktionen in dieser Anfangsviertelstunde.,"In der Offensive wird er gesucht und sie finden ihn dann auch häufig, weil er sich gut bewegt.",Relevant,,,YES
6258,england_epl/2015-2016/2015-08-29 - 17-00 Manchester City 2 - 0 Watford,37:57:00,38:03:00,16,Foul by Barame Onigwara. Will he consider this first half a success?,"Well he will, because his team haven't conceded yet.",Relevant,,,YES
10986,england_epl/2015-2016/2015-10-31 - 15-45 Chelsea 1 - 3 Liverpool,41:34:00,41:50:00,3,Long trip to Russia for Jurgen Klopp and his team. We'll have the tournament Celtic games on Thursday night as well for you.,"DT Sport, that's the place to catch up with all the European action this week, Tuesday, Wednesday and Thursday.",Relevant,映像のBT Sportsの広告に反応している & チャンピオンズリーグの試合という文脈的繋がりがある,,YES
183047,spain_laliga/2016-2017/2016-08-21 - 21-15 Real Sociedad 0 - 3 Real Madrid,27:01:00,27:07:00,2,Saque para el Real Madrid. Además está teniendo imprecisiones permanentes la Real con la pelota.,Está regalando mucho balón también.,Relevant,,,YES
58545,europe_uefa-champions-league/2014-2015/2015-04-15 - 21-45 FC Porto 3 - 1 Bayern Munich,37:00:00,37:13:00,2,"Two things, he's not favourite to win the ball, and goes in with the studs up, but if he doesn't win it, then he's almost just making the referee's job that little bit easier for him not to be available next week. That's more problems for Patek in defence.","He's one of the few who's played every minute in the Champions League for Porto so far this season, that will come to an end.",Relevant,,,YES
96517,germany_bundesliga/2014-2015/2015-04-25 - 19-30 Bayern Munich 1 - 0 Hertha Berlin,0:15,0:35,15,"Bayern kicking from right to left. No Alaba, no Bad Stuber, no Benatia although he should be back for the cup game against Dortmund in the middle of the week.","Martinez is on the bench, Rafinha has got a groin injury, Ribéry still has that ankle problem and Robben a little bit too early for him to come back as well.",Relevant,,,YES
148032,italy_serie-a/2016-2017/2017-02-19 - 17-00 Chievo 1 - 3 Napoli,18:55,18:58,3,Правда у него повреждения было в какой-то момент. Но 9 матчей за Дженну провел.,3 гола забил.,Relevant,,,YES
121200,italy_serie-a/2015-2016/2015-09-26 - 21-45 Napoli 2 - 1 Juventus,22:53,23:01,3,"Эрнанес и нарушает правила. Эрнанес даже не он, а до этого фолил Покба на Калихоне.","Арбитр показывает, где был первый фо.",Relevant,映像には関連する,YES,NO
201050,spain_laliga/2016-2017/2017-03-12 - 18-15 Dep. La Coruna 2 - 1 Barcelona,1:45,1:58,0,"Pero Luis Enrique siempre que ha modificado el sistema, a menos en cuanto a la manera como ocupa las posiciones en campo contrario, lo que no modifica es el retorno, cómo repliega el equipo cuando tiene que formar un bloque compacto cerca de su portero, cómo lo hace. Lo hace con un dibujo de, viene a ser más un 4-4-2 en este caso.","El que irá de dentro hacia afuera será Sergi Roberto, que seguramente formará la línea de 4.",Relevant,,,YES
101337,germany_bundesliga/2015-2016/2015-09-26 - 16-30 1. FSV Mainz 05 0 - 3 Bayern Munich,30:14:00,30:26:00,4,"Aber ich sag mal, zumindest ein halber Elfmeter war das ja eigentlich auch schon. Was auf der anderen Seite dann Yoshinori Muto hatte in der 25.","Minute nach schöner Vorarbeit von de Blasis, als er frei steht knapp neben das Tor von Manuel Neuer zielte.",Relevant,？,,YES
9362,england_epl/2015-2016/2015-09-26 - 17-00 Liverpool 3 - 2 Aston Villa,31:08:00,31:11:00,2,Лукас. Каутиньо.,Сколько мяч уже держится у футболистов Ливерпуля.,Relevant,映像に関連する(リバプールの保持時間が長かった),,NO
104256,germany_bundesliga/2015-2016/2016-04-23 - 16-30 Hertha Berlin 0 - 2 Bayern Munich,12:42,12:53,14,Lewandowski. Neuer gegen Neuer.,Sie kriegen wieder eine Ballbesitzstatistik.,Irrelevant,多分ポゼッションの優位を取り返したことの比喩？それとも実況者しか見えてないディスプレイで統計が映し出されたか,,Irrelevant
105381,germany_bundesliga/2016-2017/2016-09-23 - 21-30 Dortmund 3 - 1 SC Freiburg,1:24,1:30,26,Und diese ersten Augenblicke sehen genauso aus. Das lief wirklich überragend für Thomas Doppel und seine Mannschaft.,Nach dem Leipzig-Spiel wohlgemerkt.,Irrelevant,？,,Irrelevant
59327,europe_uefa-champions-league/2014-2015/2015-04-21 - 21-45 Barcelona 2 - 0 Paris SG,24:55:00,25:01:00,4,"Alves, Messi, Verratti, and Messi keeping up the pressure. And it's actually started the game really well, Verratti.",Showboating here with Dani Alves and Lionel Messi.,Relevant,,,YES
64337,europe_uefa-champions-league/2015-2016/2015-09-16 - 21-45 AS Roma 1 - 1 Barcelona,39:33:00,39:41:00,4,"Dinamo Kiev and Porto won a piece, that in Group G. In Group H, Hulk scoring for Zenit away at Valencia. They lead by a goal to nil and it's Gent 0, Lyon 0.",Gent's first ever game in either the European Cup or Champions League.,Relevant,迷った,YES,YES
118132,italy_serie-a/2014-2015/2015-05-10 - 21-45 Lazio 1 - 2 Inter,34:25:00,34:43:00,6,Massa spotting the foul by Guarin. Inter of course host Juventus next Saturday night at the San Siro.,Juventus already been crowned champions and they play Real Madrid midweek.,Relevant,,,YES
44833,europe_uefa-champions-league/2014-2015/2014-11-04 - 22-45 Dortmund 4 - 1 Galatasaray,40:55:00,41:01:00,3,Dann ist es Handspiel. In der Kapitän.,Saisonübergreifend.,,よくわからない,,
