id,game,start,end,text,付加的情報か,大分類,小分類,備考
101,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,10:24,10:52,"You can definitely run up to Ludwig, who shows weaknesses more often in the game, the Russian goalkeeper.",0,,,以上に長い発話区間
132,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,14:03,14:17,"So, and he is usually the better one at the Red Bull Nobel.",0,,,以上に長い発話区間、いい人だ。は感想だろう
230,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,22:20,22:27,"A good action from the guests, as now with Kershak.",0,,,
447,2015-02-14 - 20-00 Real Madrid 2 - 0 Dep. La Coruna,08:58,09:07,I mean Real Madrid in theory should be happy.,0,,,
511,2015-02-14 - 20-00 Real Madrid 2 - 0 Dep. La Coruna,13:28,13:34,That shot against the crossbar will have boosted Real Madrid.,0,,,実況者はwouldのつもりでwillって言ってそう（口語表現？）
535,2015-02-14 - 20-00 Real Madrid 2 - 0 Dep. La Coruna,15:52,16:02,Cruz.,0,,,
576,2015-02-14 - 20-00 Real Madrid 2 - 0 Dep. La Coruna,19:03,19:19,He's been taken under the wing by Victor Fernandez but he's going to be slightly off the pace whatever and you're going up against arguably the most potent strike force in all of the Liga if not Europe.,0,,,he 困る
833,2015-02-21 - 17-30 Paderborn 0 - 6 Bayern Munich,06:19,06:27,"Meaning Heinlot, the young man here on the ball and Hartherz on the other side.",0,,,
970,2015-02-21 - 17-30 Paderborn 0 - 6 Bayern Munich,40:43,40:47,Heinlot.,0,,,
994,2015-02-21 - 17-30 Paderborn 0 - 6 Bayern Munich,43:00,43:52,Robben against Ziegler.,0,,,
1079,2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,05:55,05:59,Another loss.,0,,,
1174,2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,12:26,12:36,The goalkeeper is in the box.,0,,,
1192,2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,13:14,13:18,"Ivanovic again, but the player is from Eden Hazard.",0,,,
1425,2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,32:01,32:10,"In the disputes, the central defenders of the Vali are with their rear-view mirrors open.",0,,,
1543,2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,39:29,39:40,Philippe for Oscar.,0,,,
1554,2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,40:14,40:19,Even a good referee can see it.,0,,,
1569,2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,41:01,41:07,He's trying to surprise the Valcanico.,0,,,
1615,2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,43:45,43:48,He's been chased by Shaquille.,0,,,
1694,2015-04-05 - 22-00 Marseille 2 - 3 Paris SG,06:26,06:33,Florian Thauvin.,0,,,
1703,2015-04-05 - 22-00 Marseille 2 - 3 Paris SG,07:02,07:26,Mendy.,0,,,
1730,2015-04-05 - 22-00 Marseille 2 - 3 Paris SG,09:29,09:39,And the Argentine is enjoying quite a renaissance at the moment.,0,,,迷った。2ぽいかも
1864,2015-04-05 - 22-00 Marseille 2 - 3 Paris SG,22:55,22:59,Going down.,0,,,
1922,2015-04-05 - 22-00 Marseille 2 - 3 Paris SG,29:30,29:33,Gignac arrives and Gignac scores!,0,,,
1934,2015-04-05 - 22-00 Marseille 2 - 3 Paris SG,30:35,30:58,A terrific season as a Marseille player.,0,,,
2034,2015-04-05 - 22-00 Marseille 2 - 3 Paris SG,41:09,41:20,Marquinhos spotting a bit of space to run into.,0,,,
2080,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,00:02,00:08,And this immediately is Callum McManaman finding Craig Dawson.,0,,,
2098,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,01:57,02:03,So in some ways I'm sure that would have had a bearing on the Zouma decision as well.,1,,,
2107,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,02:30,02:35,And a break for Jakob.,0,,,
2132,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,03:47,03:52,Now Willian.,0,,,
2155,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,04:52,04:57,He's made it clear to Zuma that he saw what happened.,0,,,
2323,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,33:35,33:45,Gives it up for Morrison.,0,,,
2576,2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,12:52,13:20,What an impression he's made on Bayern and what a remarkable achievement it would be if he could produce that unprecedented fourth consecutive Bundesliga title.,1,,,
2585,2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,14:06,14:22,It's a game that we brought you here on BT Sport and it was a stunning performance from Roger Schmid's side to see off the Italians from 1-0 down in the first leg.,1,,,
2650,2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,18:25,18:32,Kiesling was back to deal with it.,0,,,
2678,2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,20:53,21:24,Manchester United or Manchester City.,0,,,
2764,2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,27:05,27:20,Here he is looking to add to the 75.,1,,,
2771,2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,27:47,27:59,Great switch from Alonso.,0,,,
2789,2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,29:32,30:04,Well if there was a vulnerability about Bayern last season domestically it was against the other sides near the top of the table.,1,,,
2865,2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,37:24,37:47,Six of them were free kicks.,1,,,
2957,2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,43:10,43:17,I think they're just going to drop in and into shape and not allow that space to run into but something they'll have to adjust.,0,,,
3114,2015-08-29 - 21-30 Barcelona 1 - 0 Malaga,08:11,08:13,He's for Suarez.,0,,,
3121,2015-08-29 - 21-30 Barcelona 1 - 0 Malaga,08:22,08:25,Intensity in the attack of the Barcelona football club.,0,,,
3231,2015-08-29 - 21-30 Barcelona 1 - 0 Malaga,12:29,12:31,Several also from Malaga.,0,,,
3257,2015-08-29 - 21-30 Barcelona 1 - 0 Malaga,13:19,13:21,He goes to the corner.,0,,,
3290,2015-08-29 - 21-30 Barcelona 1 - 0 Malaga,31:05,31:13,"For Luis Enrique's team, there are two coaches, Roberto Rodríguez, who sit down a little.",0,,,
3312,2015-08-29 - 21-30 Barcelona 1 - 0 Malaga,32:47,32:51,"Finally, Andres Iniesta is supported.",0,,,
3381,2015-08-29 - 21-30 Barcelona 1 - 0 Malaga,36:57,37:02,A shot that doesn't go anywhere good for Barça.,0,,,
3492,2015-08-29 - 21-30 Barcelona 1 - 0 Malaga,42:57,43:11,In the final sprint of the first half.,0,,,
3509,2015-08-29 - 21-30 Barcelona 1 - 0 Malaga,44:23,44:27,Iniesta.,0,,,
3612,2015-09-15 - 21-45 Galatasaray 0 - 2 Atl. Madrid,05:34,05:37,Moussera.,0,,,
3662,2015-09-15 - 21-45 Galatasaray 0 - 2 Atl. Madrid,08:17,08:20,Luciano Vieto.,0,,,
3787,2015-09-15 - 21-45 Galatasaray 0 - 2 Atl. Madrid,14:16,14:21,There is a moment when Atletico Madrid checks the goal twice.,0,,,
3837,2015-09-15 - 21-45 Galatasaray 0 - 2 Atl. Madrid,17:03,17:13,Rieto.,0,,,
3901,2015-09-15 - 21-45 Galatasaray 0 - 2 Atl. Madrid,22:33,22:37,Bessi Snyder made the middle.,0,,,
4094,2015-09-15 - 21-45 Galatasaray 0 - 2 Atl. Madrid,33:53,34:01,It doesn't matter.,0,,,
4119,2015-09-15 - 21-45 Galatasaray 0 - 2 Atl. Madrid,35:33,35:37,In 2010.,0,,,We are watching again Atletico Madrid In 2010 In UEFA European League　（最近洗練されていたアトレティコだが、この試合は昔のようなよくない調子、という意味で捉えた）
4204,2015-09-15 - 21-45 Galatasaray 0 - 2 Atl. Madrid,42:40,42:42,Sneijder.,0,,,
4333,2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool,08:36,08:41,Went off his line for Sanchez.,0,,,
4498,2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool,19:38,19:41,A bit of trading places there between those two.,0,,,
