hash,wikipedia_article
005SL6KH,https://en.wikipedia.org/wiki/Dalbert_(footballer)
029s4TFi,https://en.wikipedia.org/wiki/Joe_Ledley
02JWqBNj,https://en.wikipedia.org/wiki/Emmanuel_Rivi%C3%A8re
02NrrSBg,https://en.wikipedia.org/wiki/Mike_van_der_Hoorn
02RLPhga,https://en.wikipedia.org/wiki/Jan_Rosenthal
02l8JpKm,https://en.wikipedia.org/wiki/Leopold_Zingerle
04PSpODJ,https://en.wikipedia.org/wiki/Paolo_Farag%C3%B2
04bDLIHq,https://en.wikipedia.org/wiki/Milos_Jojic
06BSgd70,https://en.wikipedia.org/wiki/Andrea_Poli
06bhesUc,https://en.wikipedia.org/wiki/Lorenco_Simic
06c4x0oF,https://en.wikipedia.org/wiki/Adam_Johnson_(footballer)
08FBycgB,"https://en.wikipedia.org/wiki/Mohamed_Salah_(footballer,_born_1956)"
08j381B8,https://en.wikipedia.org/wiki/Artjoms_Rud%C5%86evs
08kDzY6h,"https://en.wikipedia.org/wiki/Gabriel_Barbosa_(footballer,_born_1999)"
08p7S6NG,https://en.wikipedia.org/wiki/Manucho_(Ivorian_footballer)
08yzawp2,https://en.wikipedia.org/wiki/Cassio_Cardoselli
0ABrmqye,https://en.wikipedia.org/wiki/Gabriel_Paletta
0AS5LZj5,https://en.wikipedia.org/wiki/Victor_Ibarbo
0AcA4Esb,https://en.wikipedia.org/wiki/Thomas_Heurtaux
0AgmLAwr,https://en.wikipedia.org/wiki/Sami_Khedira
0AovoI68,https://en.wikipedia.org/wiki/John_Terry_(gridiron_football)
0CDZUPof,https://en.wikipedia.org/wiki/Marlon
0CZ7E2Nn,https://en.wikipedia.org/wiki/Kirill_Panchenko
0CkD3Gpd,"https://en.wikipedia.org/wiki/Jesus_Corona_(footballer,_born_1993)"
0EA6GzzT,https://en.wikipedia.org/wiki/Jurgen_Locadia
0EATxjSA,"https://en.wikipedia.org/wiki/Luisinho_(footballer,_born_1985)"
0ExAawcP,"https://en.wikipedia.org/wiki/Pape_Diop_(footballer,_born_2003)"
0G6OuPNI,https://en.wikipedia.org/wiki/Guillaume_Gillet
0GHXKCzN,https://en.wikipedia.org/wiki/Petros
0ICUfphb,https://en.wikipedia.org/wiki/Ole_Seln%C3%A6s
0IG1JXBr,https://en.wikipedia.org/wiki/R%C3%A9my_Descamps
0IIjRIhq,https://en.wikipedia.org/wiki/Dani_Castellano
