id,game,start,end,text,付加的情報か,大分類,小分類,備考
960,2015-02-21 - 17-30 Paderborn 0 - 6 Bayern Munich,40:09,40:14,Now a idea.,,,,
3428,2015-08-29 - 21-30 Barcelona 1 - 0 Malaga,39:10,39:15,He's smart because he's a fake.,,,,
2489,2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,04:46,05:07,It's Alaba and Alonso at the heart of that by in defence so it is very much unfamiliar looking defensive line for the home side.,,,,
4432,2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool,15:32,15:44,"When we say holding in the box, we're not talking about a foul now.",,,,
760,2015-02-15 - 14-30 AC Milan 1 - 1 Empoli,17:28,17:44,...Menes really is the... ...inspiration for Milan... ...at the moment.,,,,
4848,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,01:20,01:24,Dani Alves is trying to score.,,,,
4909,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,04:50,04:55,Alexander has a problem with the ball.,,,,
4261,2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool,01:41,01:54,"He became much coveted after his time at Southampton, which began here.",,,,
2916,2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,39:01,39:31,Mkhmedi.,,,,
341,2015-02-14 - 20-00 Real Madrid 2 - 0 Dep. La Coruna,01:59,02:06,The number 19 Ivan Cavallero.,,,,
655,2015-02-14 - 20-00 Real Madrid 2 - 0 Dep. La Coruna,23:22,23:41,Ronaldo got a hat-trick that day as I mentioned.,,,,
6434,2019-08-17 - 18-00 Celta Vigo 1 - 3 Real Madrid,18:12,18:25,"Marcelo wanted to leave first for Kroos, he gives it directly to the rival.",,,,
1067,2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,05:14,05:18,Now the counter-attack.,,,,
1636,2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,44:52,44:57,He's been controlling all these things.,,,,
5237,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,32:08,32:12,Kjezo again.,,,,
998,2015-02-21 - 17-30 Paderborn 0 - 6 Bayern Munich,44:07,44:20,Paderborn from the beginning with a clear defense concept.,,,,
3738,2015-09-15 - 21-45 Galatasaray 0 - 2 Atl. Madrid,11:59,12:02,Koke.,,,,
3990,2015-09-15 - 21-45 Galatasaray 0 - 2 Atl. Madrid,28:06,28:10,He shot from a distance.,,,,
3459,2015-08-29 - 21-30 Barcelona 1 - 0 Malaga,41:02,41:09,The problem for FC Barcelona is Alventosa's presence.,,,,
5149,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,24:36,24:45,"Calcio is returning, which, I think, all fans of the series are very happy about.",,,,
4400,2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool,13:28,13:31,Hey!,,,,
2130,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,03:41,03:46,Hasn't yet been a break in play.,,,,
4855,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,01:42,01:51,Dani Alves is playing with a traditional Juventus' style.,,,,
66,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,05:54,06:00,I don't think so.,,,,
5793,2017-05-21 - 21-00 Malaga 0 - 2 Real Madrid,01:20,01:32,"The Zinedine Zidane team are trying to get the ball out, Toni Kroos is looking for it, it's a bad pass.",,,,
46,2014-11-04 - 20-00 Zenit Petersburg 1 - 2 Bayer Leverkusen,03:59,04:08,Now Hulk up.,,,,
4440,2016-08-14 - 18-00 Arsenal 3 - 4 Liverpool,15:58,16:03,And then the non-rule climbing handball.,,,,
2837,2015-08-29 - 19-30 Bayern Munich 3 - 0 Bayer Leverkusen,35:24,35:40,Vidal.,,,,
394,2015-02-14 - 20-00 Real Madrid 2 - 0 Dep. La Coruna,05:00,05:07,Does the little pass inside.,,,,
318,2015-02-14 - 20-00 Real Madrid 2 - 0 Dep. La Coruna,00:27,00:39,Depor will come out obviously looking to defend their goal especially over the first 20 minutes or so.,,,,
491,2015-02-14 - 20-00 Real Madrid 2 - 0 Dep. La Coruna,12:01,12:16,There was no flag.,,,,
2125,2015-08-23 - 15-30 West Brom 2 - 3 Chelsea,03:28,03:30,Chelsea in those wide areas.,,,,
1542,2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,39:24,39:30,Everything you can win by 1-0 is always very dangerous.,,,,
5301,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,36:17,36:23,The player of the German national team scores the first Juventus ball in the new season.,,,,
5058,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,15:56,16:02,I never doubted that Juventus would win.,,,,
437,2015-02-14 - 20-00 Real Madrid 2 - 0 Dep. La Coruna,08:25,08:31,So good start here for the Galicians.,,,,
3241,2015-08-29 - 21-30 Barcelona 1 - 0 Malaga,12:46,12:48,Rakitic.,,,,
6777,2019-08-17 - 18-00 Celta Vigo 1 - 3 Real Madrid,41:09,41:13,Another long ball.,,,,
3616,2015-09-15 - 21-45 Galatasaray 0 - 2 Atl. Madrid,05:52,05:55,Moussera.,,,,
5472,2016-09-10 - 19-30 RB Leipzig 1 - 0 Dortmund,02:01,02:10,Mario Götze is left to Stefan Ilsenker.,,,,
422,2015-02-14 - 20-00 Real Madrid 2 - 0 Dep. La Coruna,07:27,07:36,Nacho outside to the Brazilian left back.,,,,
5166,2016-08-20 - 18-00 Juventus 2 - 1 Fiorentina,26:17,26:23,Good wall from Bernardeschi.,,,,
1616,2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,43:47,43:50,Shaquille has failed.,,,,
