2024-03-06 20:07:28.928 | INFO     | __main__:main:100 - model_type:gpt-4-1106-preview
2024-03-06 20:07:28.928 | INFO     | __main__:main:101 - random_seed:10
2024-03-06 20:07:28.928 | INFO     | __main__:main:102 - half_number:1
2024-03-06 20:07:28.928 | INFO     | __main__:main:191 - Start subcategory classification.
2024-03-06 20:07:32.131 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:07:36.511 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.1
2024-03-06 20:07:38.515 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:07:40.547 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.4
2024-03-06 20:07:42.811 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:07:47.316 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.8
2024-03-06 20:07:50.320 | INFO     | __main__:annotate_subcategory:167 - subcategory:3.3
2024-03-06 20:07:52.956 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.8
2024-03-06 20:07:55.881 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:07:57.351 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.4
2024-03-06 20:08:06.296 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.4
2024-03-06 20:08:10.839 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.8
2024-03-06 20:08:13.940 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:08:17.260 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:08:19.671 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:08:21.571 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.3
2024-03-06 20:08:29.887 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.1
2024-03-06 20:08:35.450 | INFO     | __main__:annotate_subcategory:167 - subcategory:3.3
2024-03-06 20:08:38.963 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.4
2024-03-06 20:08:42.010 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.4
2024-03-06 20:08:44.078 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:08:47.767 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.1
2024-03-06 20:08:51.708 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.4
2024-03-06 20:08:53.527 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.4
2024-03-06 20:08:55.529 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.3
2024-03-06 20:08:58.359 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:09:00.222 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:09:02.532 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:09:05.003 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:09:08.133 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:09:11.353 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:09:13.849 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.4
2024-03-06 20:09:17.834 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.1
2024-03-06 20:09:20.882 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.1
2024-03-06 20:09:22.906 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:09:25.782 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:09:29.366 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.1
2024-03-06 20:09:31.146 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:09:34.526 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.3
2024-03-06 20:09:37.086 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:09:44.902 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.4
2024-03-06 20:09:49.385 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:09:51.424 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:09:53.580 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.4
2024-03-06 20:09:56.993 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.1
2024-03-06 20:09:58.674 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.1
2024-03-06 20:10:01.282 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.8
2024-03-06 20:10:02.938 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:10:06.682 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:10:08.610 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:10:11.046 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.1
2024-03-06 20:10:13.554 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:10:15.923 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:10:20.914 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:10:23.977 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.3
2024-03-06 20:10:28.434 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:10:31.059 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:10:34.255 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:10:40.969 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.4
2024-03-06 20:10:44.580 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:10:46.773 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:10:48.290 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.4
2024-03-06 20:10:51.857 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:10:53.640 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:10:55.938 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.1
2024-03-06 20:10:58.978 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.1
2024-03-06 20:11:01.817 | INFO     | __main__:annotate_subcategory:167 - subcategory:2.1
2024-03-06 20:11:04.894 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:11:11.242 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:11:13.828 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:11:16.410 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.1
2024-03-06 20:11:19.849 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:11:22.822 | INFO     | __main__:annotate_subcategory:167 - subcategory:1.5
2024-03-06 20:11:22.830 | INFO     | __main__:main:198 - Done subcategory classification. Saved to /Users/heste/workspace/sn-script/database/20240306_subcategory_llm_annotation.csv
